bairro_tipo_quartos,bairro,tipo,quartos,nivel,status,motivo,R,R_ic_lo,R_ic_hi,half,n_ai,n_vi_total,n_vi_com_sale_price,cobertura_price_pct,origin
alto sao bento|apartamento|1,alto sao bento,apartamento,1,n/a,inconclusiva,volume_ai+volume_vi,,,,,2,0,0,40.0,nao_elegivel
alto sao bento|apartamento|2,alto sao bento,apartamento,2,n/a,inconclusiva,volume_ai,,,,,1,31,31,4.761904761904762,nao_elegivel
alto sao bento|apartamento|3,alto sao bento,apartamento,3,n/a,inconclusiva,volume_ai+volume_vi,,,,,0,0,0,0.0,nao_elegivel
alto sao bento|apartamento|4+,alto sao bento,apartamento,4+,n/a,inconclusiva,volume_ai+volume_vi,,,,,0,0,0,,nao_elegivel
alto sao bento|casa|1,alto sao bento,casa,1,n/a,inconclusiva,volume_ai+volume_vi,,,,,1,0,0,33.33333333333333,nao_elegivel
alto sao bento|casa|2,alto sao bento,casa,2,n/a,inconclusiva,volume_ai,,,,,0,10,10,0.0,nao_elegivel
alto sao bento|casa|3,alto sao bento,casa,3,n/a,inconclusiva,volume_ai,,,,,0,5,5,0.0,nao_elegivel
alto sao bento|casa|4+,alto sao bento,casa,4+,n/a,inconclusiva,volume_ai+volume_vi,,,,,1,1,1,100.0,nao_elegivel
alto sao bento|outros|1,alto sao bento,outros,1,n/a,inconclusiva,volume_ai+volume_vi,,,,,0,0,0,0.0,nao_elegivel
alto sao bento|outros|2,alto sao bento,outros,2,n/a,inconclusiva,volume_ai+volume_vi,,,,,0,0,0,,nao_elegivel
alto sao bento|outros|3,alto sao bento,outros,3,n/a,inconclusiva,volume_ai+volume_vi,,,,,0,0,0,0.0,nao_elegivel
alto sao bento|outros|4+,alto sao bento,outros,4+,n/a,inconclusiva,volume_ai+volume_vi,,,,,0,0,0,,nao_elegivel
areal|apartamento|1,areal,apartamento,1,n/a,inconclusiva,volume_ai+volume_vi,,,,,0,0,0,,nao_elegivel
areal|apartamento|2,areal,apartamento,2,n/a,inconclusiva,volume_ai+volume_vi,,,,,0,0,0,,nao_elegivel
