bairro_tipo_quartos,bairro,tipo,quartos,nivel,status,R,R_ic_lo,R_ic_hi,half,n_ai,n_vi_total,n_vi_com_sale_price,cobertura_price_pct,origin
casa branca|apartamento|2,casa branca,apartamento,2,bairro×tipo×quartos,prioritaria,0.0005384615384615384,0.00042452830188679223,0.0006349206349206348,0.19536430924571097,11,19,19,20.754716981132077,fino
centro|apartamento|1,centro,apartamento,1,bairro×tipo×quartos,prioritaria,0.000503370786516854,0.0004357142857142861,0.0007189393939393937,0.28132851151824306,78,21,21,67.24137931034483,fino
centro|apartamento|2,centro,apartamento,2,bairro×tipo×quartos,prioritaria,0.0005345211581291759,0.00038532461413910967,0.0006401015228426399,0.23832256668309387,65,86,86,35.51912568306011,fino
morretes|apartamento|2,morretes,apartamento,2,bairro×tipo×quartos,prioritaria,0.0005956907477820025,0.0005063291139240504,0.0006962025316455693,0.1593724750875302,51,999,999,22.270742358078603,fino
morretes|apartamento|3,morretes,apartamento,3,bairro×tipo×quartos,prioritaria,0.0007701421800947868,0.0005713128185970944,0.0011821428571428567,0.3965696557943256,10,141,141,16.94915254237288,fino
tabuleiro dos oliveiras|apartamento|2,tabuleiro dos oliveiras,apartamento,2,bairro×tipo×quartos,prioritaria,0.000575506813680948,0.000440048983738304,0.0008662499999999996,0.3702832061498188,12,108,108,16.216216216216218,fino
morretes|casa|(todos quartos),morretes,casa,1,bairro×tipo,prioritaria,0.0005703703703703704,0.0004772507010120193,0.0009862651762407146,0.44621398802515494,14,358,358,14.14141414141414,fallback_bt
centro|apartamento|3,centro,apartamento,3,bairro×tipo×quartos,nao_prioritaria,0.00037142857142857143,0.0003023255813953489,0.0004018942224595946,0.13403470912494614,45,420,420,21.32701421800948,fino
centro|apartamento|4+,centro,apartamento,4+,bairro×tipo×quartos,nao_prioritaria,0.0002110843039982707,0.00011903983470722117,0.00028954423592493327,0.40387749820353513,5,362,362,13.88888888888889,fino
meia praia|apartamento|1,meia praia,apartamento,1,bairro×tipo×quartos,nao_prioritaria,0.0005011363636363636,0.0004123711340206181,0.0005917647058823534,0.17898678371692409,20,57,57,24.691358024691358,fino
meia praia|apartamento|2,meia praia,apartamento,2,bairro×tipo×quartos,nao_prioritaria,0.0004128440366972477,0.00039096595868489927,0.0004762022924788979,0.1032306709282872,187,241,241,25.864453665283545,fino
meia praia|apartamento|3,meia praia,apartamento,3,bairro×tipo×quartos,nao_prioritaria,0.0003631205585106383,0.00034383791688327996,0.00037837837837837845,0.04756059755576544,327,1638,1638,22.53618194348725,fino
meia praia|apartamento|4+,meia praia,apartamento,4+,bairro×tipo×quartos,nao_prioritaria,0.00034285714285714285,0.00025009951048013987,0.0004251428571428572,0.25527154721646284,65,1266,1266,20.440251572327046,fino
meia praia|casa|3,meia praia,casa,3,bairro×tipo×quartos,nao_prioritaria,0.00025,0.00017307692307692296,0.000458872007889775,0.5715901696257042,5,11,11,11.11111111111111,fino
meia praia|outros|(todos quartos),meia praia,outros,1,bairro×tipo,nao_prioritaria,8.205128205128205e-05,5.6385687725156306e-05,0.00014096916299559465,0.5154305524292337,13,32,32,7.738095238095238,fallback_bt
ilhota|apartamento|(todos quartos),ilhota,apartamento,1,bairro×tipo,nao_prioritaria,0.0001790364117092678,8.87156820810165e-05,0.0002567901234567905,0.4693861985144825,5,14,14,22.727272727272727,fallback_bt
canto da praia|apartamento|(todos quartos),canto da praia,apartamento,1,bairro×tipo,nao_prioritaria,0.0003003003003003003,0.00018018018018018,0.00041981981981981944,0.3989999999999997,5,93,93,55.55555555555556,fallback_bt
